"nom";"UFL";"UFV";"PDIN";"PDIE";"PDIinf";"source"
"Parcours";0,7;0,6;60;50;50;"PP Alpes à base de Dicotylédones 1er cycle fructification du Dactyle"
"Pâture chou";1;1;107;100;100;
"Pâture colza";0,85;0,8;122;95;95;
"Pâture gram/leg";0,901;0,855;102;77,5;77,5;
"Pâture légumineuse";0,88;0,82;130;95;95;
"Pâture monospécifique";0,91;0,87;90;70;70;
"Pâture multi-espèce";0,9;;110;95;95;"Fustec et al. (2008), Fourrages et Delaby et al. (2007), 3R : moyenne des 4 cycles"
"Pâture pois";0,95;0,9;109;95;95;
"Pâture PP";0,97;0,92;114;90;90;
"Pâture sorgho";0,75;0,67;81;78;78;
